word,count
그림자,58
이름만,58
남긴,58
알았죠,58
Where,58
put,58
끝난,58
뭐래도,58
Cuz,58
하루는,58
바람을,58
줄께,58
Lolli,58
슬픔을,57
ride,57
이제와서,57
거리에,57
상관없어,57
목소리로,57
생각은,57
힘겨운,57
헛된,57
뿐인데,57
흘러가는,57
잊지마,57
돌릴,57
웃어도,57
she's,57
모질게,57
서툰,57
날도,57
찬,57
Everyday,57
fight,57
울지마,57
겨울이,57
그대라는,57
한잔,57
dancing,57
돌려,56
사랑한다면,56
bounce,56
promise,56
보내는,56
걸어도,56
잊는,56
Can't,56
들려오는,56
꺼내,56
어디라도,56
몰라도,56
boo,56
않길,56
떠나가지마,56
change,56
시간도,56
변해,56
set,56
스쳐,56
자유롭게,56
미안하단,56
유일한,56
후회는,56
멋지게,56
뭐라,56
귀에,56
천,56
because,56
밤새도록,56
반짝이는,56
같애,56
좋았던,56
(I,56
끝없는,55
그러면,55
as,55
pray,55
옷을,55
한번쯤,55
슬픔은,55
봐봐,55
그렇지,55
괜찮은,55
뭐든,55
몸,55
여린,55
가네,55
남자들은,55
싫다고,55
누구라도,55
삶은,55
않을까,55
말할게,55
싶다고,55
화장을,55
V,55
오늘을,55
고마운,55
round,55
들리지,55
Dance,55
Summer,55
Lady,55
나로,54
사이로,54
they,54
뭐라고,54
cuz,54
Be,54
있었지,54
간절히,54
안되요,54
꿈에,54
갇혀,54
시린,54
소중했던,54
여자야,54
그러다,54
할수록,54
순간부터,54
가라,54
기대어,54
참아,54
오늘따라,54
빠진,54
그걸로,54
뒤를,54
되는데,54
눈은,54
떠나가지,54
제,54
사람만,54
가라고,54
심장을,54
전화번호,54
편한,53
조금도,53
아무말,53
돌아가,53
tight,53
랄랄랄라,53
붉은,53
뭐야,53
남자를,53
편지를,53
내린,53
place,53
아나요,53
맘껏,53
말로는,53
보던,53
매번,53
through,53
대답,53
ain't,53
She,53
Always,53
웃어요,53
웃음을,53
열,53
날아올라,53
movin,53
pum,53
바라만,52
거울,52
부를,52
thing,52
랄라라,52
어려운,52
무릎,52
맘의,52
끝도,52
미래를,52
이유가,52
나에게로,52
들리니,52
뿐인걸,52
지금이,52
하나면,52
where,52
무엇을,52
거릴,52
두근,52
눈빛을,52
날은,52
써도,52
한때,52
느껴져,52
약속을,52
눈빛에,52
falling,52
너라고,52
자리,52
far,52
남자답게,52
만들고,52
꽃이,52
뜰,52
행복하라고,52
탈랄라,52
Gee,52
주,51
아침을,51
발을,51
수없이,51
초라한,51
us,51
어깨를,51
바꿀,51
할까,51
데려가,51
삶,51
무너져,51
던져,51
look,51
않을께,51
뛰고,51
R,51
뛰어,51
감사해,51
전활,51
너만은,51
원한,51
날의,51
영혼을,51
없네,51
잊으려고,51
질,51
누군가를,51
뜨고,51
잊어야,51
시원한,51
돌고,51
울리고,51
언제쯤,51
어떡해야,51
말해줘요,51
이별이란,51
눈처럼,51
special,51
속삭임,51
눈치,51
Move,51
꿈만,51
라랄라,51
까만,50
있는걸,50
강한,50
끝은,50
인생의,50
지켜줄,50
남자의,50
그리며,50
비록,50
못다한,50
싶을,50
살아야,50
멋져,50
too,50
running,50
다같이,50
너보다,50
너잖아,50
입술로,50
자주,50
곳은,50
기억속에,50
Are,50
하겠지,50
흐린,50
makes,50
감추고,50
워-,50
머리위로,50
보아도,50
부는,50
가네요,50
원하지,50
아가씨,50
알아서,50
흘러서,50
돌아봐,50
Bling,50
you),50
여자의,49
이러다,49
꿈꾸는,49
아름다웠던,49
받은,49
그곳에,49
하기,49
고갤,49
검은,49
넘어,49
어깨에,49
돈,49
새하얀,49
갈수록,49
shine,49
손길,49
싫어서,49
마음의,49
마디,49
지루한,49
바다로,49
안해도,49
워워,49
잠깐,49
숨어,49
떠나버린,49
마음만,49
텅빈,49
날아가,49
걷다가,49
않을래,49
될까요,49
맡겨,49
오빠,49
사랑할게,49
),49
